,comment,text_clear,negative_proba
108,"Очень классный культурный кластер в центре города. Площадка собрала в одном месте большое количество творческих направлений, сюда хочется приходить и оставлять деньги 😄 

Ремонт стильный и современный. Очень надеюсь, что люди будут бережно относиться к стенам Станкозавода, чтобы он как можно дольше сохранял облик нового помещения  🙏🏼✨",очень классный культурный кластер центре города площадка собрала одном месте большое количество творческих направлений сюда хочется приходить оставлять деньги ремонт стильный современный очень надеюсь люди будут бережно относиться стенам станкозавода дольше сохранял облик нового помещения,0.2013529731486392
109,"Весело, вкусно и Отличные коктейли, атмосферное место",весело вкусно отличные коктейли атмосферное место,0.042894452007599226
110,"Стильно! Заведения тоже не плохие.Не вот прям восторг,но достойно!",стильно заведения плохие прям восторг достойно,0.2897925110970261
111,"Давно нужно было освежить самарские дворики, подобным проектом🫶
Магазины, шоурумы, пока только 2 крутых заведения питейных и развлекательных. Точно нужно больше😁

И на лестницу нужно подняться! 👽",давно нужно освежить самарские дворики подобным проектом магазины шоурумы пока крутых заведения питейных развлекательных точно нужно лестницу нужно подняться,0.5078061325043477
112, перспективная локация ,перспективная локация,0.4609930674954531
113,Побольше бы таких мест,побольше таких мест,0.2964120196573026
114,Отличное место. Шедевр в рамках Самарского общества,отличное место шедевр рамках самарского общества,0.1375896862673478
115,"Классно, что в Самаре появляются такие крутые места.",классно самаре появляются такие крутые места,0.26828202742441687
116,"Для Самары это что-то новенькое! Очень стильно , красиво и интересно ",самары это новенькое очень стильно красиво интересно,0.11383848510524242
117,Был там во всех заведениях развлекательного характера. Идея для Самары живая и явно стоит внимания,заведениях развлекательного характера идея самары живая явно стоит внимания,0.2581483520640582
118,Огонь огонь,огонь огонь,0.25258407273820205
119,"Благодарен людям, которые сделали это место! Это уже высокий уровень пространства, новый конкурент дом 77 
Ждём следующего лета, думаю тусовка будет там",благодарен людям которые сделали это место это высокий уровень пространства новый конкурент дом ждём следующего лета думаю тусовка,0.09634809214109719
120,"Ничего непонятно, но очень интересно!",непонятно очень интересно,0.41891237713336094
121,Был впервые. Думаю приду ещё в это место. Хорошая атмосфера. Необычно и душевно.,впервые думаю приду ещё это место хорошая атмосфера необычно душевно,0.07515760658997983
122,"Стильно, модно, молодежно!",стильно модно молодежно,0.14246312667334216
123,"Задумка отличная, яркое и не обычное место для Самары. Кое где ещё продолжается ремонт. Кафе и бары работают, на улице активно проходят фотосессии)",задумка отличная яркое обычное место самары кое ещё продолжается ремонт кафе бары работают улице активно проходят фотосессии,0.3378001152762288
124,"Необычное, интересное место. Классный интерьер, наполнение. Жду, когда откроются остальные помещения))",необычное интересное место классный интерьер наполнение жду откроются остальные помещения,0.09001635858699086
